business_id,business_name,business_address,business_postal_code,inspection_date,inspection_score,inspection_type,violation_description,risk_category,current_supervisor_districts
61390,Fondue Cowboy,1052 FOLSOM St,94103,2018-03-13,96.0,Routine - Unscheduled,Inadequate warewashing facilities or equipment,Low Risk,10.0
3655,VERDI CLUB,2424A MARIPOSA St,94110,2019-04-23,98.0,Routine - Unscheduled,Food safety certificate or food handler card not available,Low Risk,9.0
4412,Barbarossa,714 Montgomery St,94111,2019-04-25,89.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk,3.0
6521,POTRERO TERRACE MARKET,990 WISCONSIN St,94107,2019-09-10,96.0,Routine - Unscheduled,Foods not protected from contamination,Moderate Risk,9.0
62730,Monroe,473 Broadway St,94133,2018-05-01,93.0,Routine - Unscheduled,Unclean or unsanitary food contact surfaces,High Risk,3.0
7599,Intintoli,Pier 41,94133,2016-10-27,98.0,Routine - Unscheduled,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,3.0
5982,SF Senior Center at Aquatic Park Meals Program,890 Beach St,94109,2017-08-01,96.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk,6.0
62889,Benu,22 HAWTHORNE St,94105,2018-05-02,96.0,Routine - Unscheduled,Foods not protected from contamination,Moderate Risk,10.0
919,"Ritz-Carlton, SF -  P-37 Restaurant and Bar",600 Stockton St 4th Floor,94108,2017-04-10,96.0,Routine - Unscheduled,Noncompliance with shell fish tags or display,Moderate Risk,3.0
59949,Aicha,1303 Polk St,94109,2018-05-21,96.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk,3.0
5847,John Muir Elementary School,380 Webster St,94117,2017-02-08,93.0,Routine - Unscheduled,High risk vermin infestation,High Risk,11.0
2667,ARIAKE,5041 Geary Blvd,94118,2018-06-07,93.0,Routine - Unscheduled,Unclean or unsanitary food contact surfaces,High Risk,4.0
61563,Dartealing Lounge,470 03rd St  #101B,94107,2019-08-02,94.0,Routine - Unscheduled,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,10.0
786,Piperade,1015 Battery St,94111,2018-02-06,86.0,Routine - Unscheduled,High risk food holding temperature,High Risk,3.0
33173,Handy Delicatessen,1815 IRVING St,94122,2017-09-11,98.0,Routine - Unscheduled,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,7.0
36695,Golden Natural Foods,130 Church St,94114,2018-06-05,96.0,Routine - Unscheduled,Moderate risk vermin infestation,Moderate Risk,5.0
5842,GRATTAN ELEMENTARY SCHOOL,165 GRATTAN St,94117,2019-09-12,96.0,Routine - Unscheduled,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk,11.0
1829,Nob Hill Cafe,1152 Taylor St,94108,2018-07-27,96.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk,3.0
61806,Paulie's Pickling,331 Cortland Ave,94110,2016-10-13,96.0,Routine - Unscheduled,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk,2.0
315,The Posh Bagel,495A CASTRO St,94114,2016-11-10,92.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk,5.0
2017,THE GROVE FILLMORE,2016 FILLMORE St,94115,2018-01-23,89.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,6.0
35771,Starbucks Coffee,462 Powell St,94102,2017-12-11,98.0,Routine - Unscheduled,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,3.0
34221,"Campton Place SF, A Taj Hotel-Restaurant",340 Stockton St,94108,2019-08-22,94.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk,3.0
5272,PAN-O-RAMA,500 FLORIDA St,94110,2017-01-20,96.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,2.0
744,Cafe Bellini,865 MARKET St C45,94103,2018-01-16,98.0,Routine - Unscheduled,Improper storage of equipment utensils or linens,Low Risk,10.0
63713,Superb Garden Grocery,2433 Noriega St,94122,2018-09-26,98.0,Routine - Unscheduled,Low risk vermin infestation,Low Risk,7.0
35882,Peet's Coffee and Tea,555 09th St Ste B5,94103,2017-08-28,96.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk,10.0
59016,Mission Martco,5098 MISSION St,94112,2019-03-08,96.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk,1.0
1156,Boudin Petit Cafe,"170 O'Farrell St, 1st Floor",94102,2018-04-30,96.0,Routine - Unscheduled,Moderate risk vermin infestation,Moderate Risk,3.0
4538,LUCCA FOOD & WINE SHOP,1899 IRVING St,94122,2018-04-20,96.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,7.0
63136,Sodexo at PG & E Energy Center,851 HOWARD St,94103,2018-01-19,98.0,Routine - Unscheduled,Permit license or inspection report not posted,Low Risk,10.0
60254,Delise,327 Bay St,94133,2018-01-31,96.0,Routine - Unscheduled,Improper or defective plumbing,Low Risk,3.0
1294,ANCHOR OYSTER BAR INC.,579 Castro St,94114,2018-12-10,96.0,Routine - Unscheduled,Foods not protected from contamination,Moderate Risk,5.0
4500,Church Street Grocery,300 CHURCH St,94114,2018-06-11,98.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk,5.0
3960,GAP INC.,2 FOLSOM STREET,94105,2018-09-20,93.0,Routine - Unscheduled,High risk food holding temperature,High Risk,10.0
5634,AT&T - COMMISARY KITCHEN [145184],24 WILLIE MAYS PLAZA 1.24.06,94107,2016-10-11,98.0,Routine - Unscheduled,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,10.0
3393,DON RAMON,225 11th St,94103,2018-04-24,96.0,Routine - Unscheduled,Foods not protected from contamination,Moderate Risk,10.0
28044,Century Theatres,845 Market St Suite 500,94103,2018-11-21,98.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk,10.0
19058,Moscone Center West - 1st Flr. Pantry,800 Howard St 1st Floor,94103,2016-11-30,96.0,Routine - Unscheduled,Moderate risk vermin infestation,Moderate Risk,10.0
236,Gelato Classico Italian Ice,576 Union St,94133,2018-06-15,93.0,Routine - Unscheduled,High risk vermin infestation,High Risk,3.0
2433,PUERTO ALEGRE NO. 2,2950 25th St,94110,2018-01-18,98.0,Routine - Unscheduled,Improper food storage,Low Risk,2.0
63000,The Little Chihuahua Mexican,4123 24th St,94114,2019-06-06,98.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk,5.0
116,The Waterfront Restaurant,Pier 7 Embarcadero,94111,2017-05-09,96.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk,3.0
5194,CULINARY ARTS & HOSPITALITY,50 PHELAN Ave,94112,2017-03-14,91.0,Routine - Unscheduled,Permit license or inspection report not posted,Low Risk,8.0
24023,Kabuki Cinema,1881 Post St Level 1,94115,2017-03-01,98.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk,11.0
26379,Sushi Kazu,841 Irving St,94122,2018-12-11,96.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk,11.0
7461,PACIFIC HEIGHTS CHEVRON,2500 CALIFORNIA St,94115,2019-03-08,98.0,Routine - Unscheduled,Food safety certificate or food handler card not available,Low Risk,6.0
5434,Annie's Hot Dogs,Stockton & O'Farrell St (N/W),94102,2017-04-18,98.0,Routine - Unscheduled,Food safety certificate or food handler card not available,Low Risk,10.0
2244,Starbucks Coffee Company,295 California St,94111,2017-10-10,98.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk,3.0
7528,Encinal,Pier 41,94133,2017-02-01,98.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk,3.0
